lr_path,caption
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20220318.png,satellite image of a farm in a city
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20220320.png,a southwestern field and a rural countryside
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20220323.png,"image shows the view of a rural area, with two houses, two farm fields and a grassy area"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20220330.png,satellite photo of a farm with a large field of green crops in the middle of a large field
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20220407.png,it shows a green field with several trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20220424.png,"it has many squarish pixels, a wide area and wide range of brightness"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20220427.png,"savannah prairie, savannah, alaska, usa"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20220502.png,a satellite image of an agricultural field with green grass and trees
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20220514.png,satellite image of the city of san antonio city from eagle spacecraft image
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20220519.png,"a satellite image of the earth showing the land surrounding an island, a desert and mountainous terrain"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20220601.png,satellite image of cornfields showing large expanse of farmland and wheat crop fields
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20220606.png,the image shows a farm field with green crops and a few houses in the background
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20221016.png,a satellite image of a farm field showing the fields and barns in the background
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20221024.png,"satellite image showing a large area of tucson, nebraska with many small green fields"
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20221026.png,sso - a satellite image of an area
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20221029.png,a satellite image of a farm in the state of oklahoma
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20221123.png,a satellite image of a farm and farm lands to the north of the paved road on the horizon
/home/sushil/ACPS Project/Dataset/3000/Sentinel/SENT4MS_086_20221130.png,a satellite image of the farmland and surrounding area viewed from the south
